Frame,X,Y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,814,197
12,0,0
13,978,55
14,1110,46
15,1160,62
16,1105,34
17,1154,55
18,1179,71
19,1133,57
20,1158,48
21,1135,47
22,1093,28
23,1105,39
24,1097,31
25,1103,32
26,1120,38
27,1052,29
28,1107,41
29,1074,43
30,982,47
31,1005,53
32,985,65
33,1006,80
34,831,268
35,783,390
36,781,371
37,789,382
38,782,389
39,800,380
40,775,379
41,758,378
42,778,373
43,768,368
44,790,371
45,784,375
46,785,378
47,755,374
48,765,373
49,810,371
50,766,362
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
