Frame,X,Y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,635,192
18,0,0
19,0,0
20,0,0
21,0,0
22,697,275
23,571,213
24,543,196
25,547,199
26,548,198
27,559,180
28,570,176
29,570,177
30,557,185
31,553,196
32,572,186
33,570,176
34,563,187
35,576,174
36,567,183
37,558,187
38,560,188
39,556,190
40,539,187
41,536,192
42,543,195
43,538,192
44,538,191
45,540,193
46,544,188
47,546,188
48,547,187
49,552,186
50,552,190
51,552,189
52,551,187
53,546,188
54,547,192
55,537,195
56,542,197
57,544,194
58,537,192
59,537,202
60,544,202
61,535,201
62,533,206
63,528,208
64,526,210
65,528,207
66,526,208
67,521,212
68,514,228
69,514,225
70,518,218
71,523,216
72,517,215
73,531,220
74,534,218
75,533,217
76,536,213
77,541,220
78,544,225
79,535,216
80,539,200
81,561,208
82,568,249
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
